subj,level,trial,order,LHIPA,pavg,pcpd
P06,PHY,none,9,0.0,2.314686,0.0
P06,PHY,none,11,0.0,0.45864799999999994,0.0
P06,PHY,none,13,36.5,1.4576850000000001,-2.195536073
P06,PHY,none,15,0.0,3.932178,0.0
P06,PHY,none,17,22.9,1.7705349999999997,5.355330451
P06,PHY,title,2,10.368421000000001,1.667505,-2.5842801069999997
P06,PHY,title,14,46.0,1.574147,2.4449431980000003
P06,WDILL,abs,4,12.16,1.4360700000000002,3.3838879719999997
P06,WDILL,abs,23,12.65,1.537672,-5.774963711
P06,WDILL,figs,9,26.714285999999998,1.534349,-2.719394349
P06,WDILL,figs,13,26.0,1.505147,0.141049346
P06,WDILL,figs,17,12.418605,1.620127,-8.320026763
P06,WDILL,figs,21,47.0,1.5635700000000001,1.209859488
P06,WDILL,intro,6,6.4382019999999995,1.560039,-6.338751788
P06,WDILL,methodology,8,12.555556,1.690604,-11.88385926
P06,WDILL,methodology,11,38.0,1.44256,0.0
P06,WDILL,methodology,15,6.3442620000000005,1.560084,-7.838103589
P06,WDILL,methodology,19,12.446809,1.459926,-0.48050380600000003
P06,WDILL,methodology,25,25.0,1.4276149999999999,5.66315148
P06,WDILL,none,1,23.5,1.850043,-3.603754075
P06,WDILL,none,3,0.0,2.46614,0.0
P06,WDILL,none,5,0.0,3.4508010000000002,0.0
P06,WDILL,none,7,22.75,1.573609,6.018267562
P06,WDILL,none,10,0.0,1.468223,0.0
P06,WDILL,none,12,0.0,1.372685,0.0
P06,WDILL,none,14,0.0,2.6008400000000003,0.0
P06,WDILL,none,16,0.0,1.524052,0.0
P06,WDILL,none,18,0.0,-1.072855,0.0
P06,WDILL,none,20,0.0,-1.99043,0.0
P06,WDILL,none,22,23.666667,1.538068,4.166265731
P06,WDILL,none,24,0.0,1.55552,0.0
P06,WDILL,none,26,12.428571,1.706116,3.9785102539999997
P06,WDILL,title,2,12.0,1.71462,-6.952794205
P07,PHY,abs,4,13.470588000000001,1.9166299999999998,-3.671287625
